"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787546","1.1.1.1.4","61.9","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787546","1.1.1.1.4","61.1","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787546","1.1.1.1.4","61.0","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787546","1.1.1.1.4","60.7","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787546","1.1.1.1.4","61.2","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787546","1.1.1.1.4","62.5","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787546","1.1.1.1.4","59.7","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787547","1.1.1.1.5","61.3","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787547","1.1.1.1.5","60.4","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787547","1.1.1.1.5","60.4","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787547","1.1.1.1.5","60.0","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787547","1.1.1.1.5","60.5","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787547","1.1.1.1.5","61.6","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787547","1.1.1.1.5","59.0","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787548","1.1.1.1.6","62.6","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787548","1.1.1.1.6","61.8","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787548","1.1.1.1.6","61.7","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787548","1.1.1.1.6","61.4","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787548","1.1.1.1.6","61.8","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787548","1.1.1.1.6","63.3","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787548","1.1.1.1.6","60.5","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787728","1.1.2.1.4","62.8","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787728","1.1.2.1.4","61.7","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787728","1.1.2.1.4","61.0","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787728","1.1.2.1.4","61.2","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787728","1.1.2.1.4","61.9","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787728","1.1.2.1.4","63.4","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787728","1.1.2.1.4","60.2","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787729","1.1.2.1.5","61.8","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787729","1.1.2.1.5","60.8","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787729","1.1.2.1.5","60.0","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787729","1.1.2.1.5","60.2","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787729","1.1.2.1.5","61.0","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787729","1.1.2.1.5","62.1","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787729","1.1.2.1.5","59.1","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787730","1.1.2.1.6","63.7","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787730","1.1.2.1.6","62.7","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787730","1.1.2.1.6","61.9","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787730","1.1.2.1.6","62.2","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787730","1.1.2.1.6","62.8","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787730","1.1.2.1.6","64.6","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787730","1.1.2.1.6","61.3","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787910","1.1.3.1.4","61.1","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787910","1.1.3.1.4","60.5","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787910","1.1.3.1.4","61.1","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787910","1.1.3.1.4","60.2","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787910","1.1.3.1.4","60.5","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787910","1.1.3.1.4","61.6","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110787910","1.1.3.1.4","59.3","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787911","1.1.3.1.5","60.2","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787911","1.1.3.1.5","59.6","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787911","1.1.3.1.5","60.2","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787911","1.1.3.1.5","59.2","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787911","1.1.3.1.5","59.6","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787911","1.1.3.1.5","60.5","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110787911","1.1.3.1.5","58.2","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787912","1.1.3.1.6","62.1","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787912","1.1.3.1.6","61.4","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787912","1.1.3.1.6","62.0","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787912","1.1.3.1.6","61.3","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787912","1.1.3.1.6","61.4","","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787912","1.1.3.1.6","62.7","","","","1"
"2021","Canada (excluding territories)","","Total, 12 years and over","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110787912","1.1.3.1.6","60.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788092","1.2.1.1.4","72.9","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788092","1.2.1.1.4","75.3","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788092","1.2.1.1.4","75.7","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788092","1.2.1.1.4","73.4","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788092","1.2.1.1.4","75.7","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788092","1.2.1.1.4","76.5","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788092","1.2.1.1.4","71.9","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788093","1.2.1.1.5","71.0","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788093","1.2.1.1.5","73.5","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788093","1.2.1.1.5","73.8","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788093","1.2.1.1.5","71.3","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788093","1.2.1.1.5","73.7","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788093","1.2.1.1.5","74.2","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788093","1.2.1.1.5","69.5","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788094","1.2.1.1.6","74.9","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788094","1.2.1.1.6","77.0","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788094","1.2.1.1.6","77.4","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788094","1.2.1.1.6","75.4","","","","1"
