REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015,Canada (excluding territories),,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787546,1.1.1.1.4,61.9,,,,1
2016,Canada (excluding territories),,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787546,1.1.1.1.4,61.1,,,,1
2017,Canada (excluding territories),,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787546,1.1.1.1.4,61,,,,1
2018,Canada (excluding territories),,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787546,1.1.1.1.4,60.7,,,,1
2019,Canada (excluding territories),,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787546,1.1.1.1.4,61.2,,,,1
2020,Canada (excluding territories),,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787546,1.1.1.1.4,62.5,,,,1
2021,Canada (excluding territories),,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787546,1.1.1.1.4,59.7,,,,1
2015,Canada (excluding territories),,"Total, 12 years and over",Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787728,1.1.2.1.4,62.8,,,,1
2016,Canada (excluding territories),,"Total, 12 years and over",Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787728,1.1.2.1.4,61.7,,,,1
2017,Canada (excluding territories),,"Total, 12 years and over",Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787728,1.1.2.1.4,61,,,,1
2018,Canada (excluding territories),,"Total, 12 years and over",Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787728,1.1.2.1.4,61.2,,,,1
2019,Canada (excluding territories),,"Total, 12 years and over",Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787728,1.1.2.1.4,61.9,,,,1
2020,Canada (excluding territories),,"Total, 12 years and over",Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787728,1.1.2.1.4,63.4,,,,1
2021,Canada (excluding territories),,"Total, 12 years and over",Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787728,1.1.2.1.4,60.2,,,,1
2015,Canada (excluding territories),,"Total, 12 years and over",Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787910,1.1.3.1.4,61.1,,,,1
2016,Canada (excluding territories),,"Total, 12 years and over",Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787910,1.1.3.1.4,60.5,,,,1
2017,Canada (excluding territories),,"Total, 12 years and over",Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787910,1.1.3.1.4,61.1,,,,1
2018,Canada (excluding territories),,"Total, 12 years and over",Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787910,1.1.3.1.4,60.2,,,,1
2019,Canada (excluding territories),,"Total, 12 years and over",Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787910,1.1.3.1.4,60.5,,,,1
2020,Canada (excluding territories),,"Total, 12 years and over",Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787910,1.1.3.1.4,61.6,,,,1
2021,Canada (excluding territories),,"Total, 12 years and over",Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110787910,1.1.3.1.4,59.3,,,,1
2015,Canada (excluding territories),,12 to 17 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788092,1.2.1.1.4,72.9,,,,1
2016,Canada (excluding territories),,12 to 17 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788092,1.2.1.1.4,75.3,,,,1
2017,Canada (excluding territories),,12 to 17 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788092,1.2.1.1.4,75.7,,,,1
2018,Canada (excluding territories),,12 to 17 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788092,1.2.1.1.4,73.4,,,,1
2019,Canada (excluding territories),,12 to 17 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788092,1.2.1.1.4,75.7,,,,1
2020,Canada (excluding territories),,12 to 17 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788092,1.2.1.1.4,76.5,,,,1
2021,Canada (excluding territories),,12 to 17 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788092,1.2.1.1.4,71.9,,,,1
2015,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788274,1.2.2.1.4,71,,,,1
2016,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788274,1.2.2.1.4,73.5,,,,1
2017,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788274,1.2.2.1.4,75.6,,,,1
2018,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788274,1.2.2.1.4,72.4,,,,1
2019,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788274,1.2.2.1.4,77.1,,,,1
2020,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788274,1.2.2.1.4,78.8,,,,1
2021,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788274,1.2.2.1.4,74.9,,,,1
2015,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788456,1.2.3.1.4,75,,,,1
2016,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788456,1.2.3.1.4,77.1,,,,1
2017,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788456,1.2.3.1.4,75.8,,,,1
2018,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788456,1.2.3.1.4,74.4,,,,1
2019,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788456,1.2.3.1.4,74.3,,,,1
2020,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788456,1.2.3.1.4,74.2,,,,1
2021,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788456,1.2.3.1.4,68.7,,,,1
2015,Canada (excluding territories),,18 to 34 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788638,1.3.1.1.4,70.9,,,,1
2016,Canada (excluding territories),,18 to 34 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788638,1.3.1.1.4,69.2,,,,1
2017,Canada (excluding territories),,18 to 34 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788638,1.3.1.1.4,70.9,,,,1
2018,Canada (excluding territories),,18 to 34 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788638,1.3.1.1.4,68.2,,,,1
2019,Canada (excluding territories),,18 to 34 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788638,1.3.1.1.4,67.6,,,,1
2020,Canada (excluding territories),,18 to 34 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788638,1.3.1.1.4,69,,,,1
2021,Canada (excluding territories),,18 to 34 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788638,1.3.1.1.4,66.1,,,,1
2015,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788820,1.3.2.1.4,71.3,,,,1
2016,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788820,1.3.2.1.4,69.8,,,,1
2017,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788820,1.3.2.1.4,72.2,,,,1
2018,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788820,1.3.2.1.4,68.5,,,,1
2019,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788820,1.3.2.1.4,68.5,,,,1
2020,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788820,1.3.2.1.4,70,,,,1
2021,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110788820,1.3.2.1.4,66.6,,,,1
2015,Canada (excluding territories),,18 to 34 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789002,1.3.3.1.4,70.5,,,,1
2016,Canada (excluding territories),,18 to 34 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789002,1.3.3.1.4,68.5,,,,1
2017,Canada (excluding territories),,18 to 34 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789002,1.3.3.1.4,69.6,,,,1
2018,Canada (excluding territories),,18 to 34 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789002,1.3.3.1.4,67.9,,,,1
2019,Canada (excluding territories),,18 to 34 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789002,1.3.3.1.4,66.8,,,,1
2020,Canada (excluding territories),,18 to 34 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789002,1.3.3.1.4,68,,,,1
2021,Canada (excluding territories),,18 to 34 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789002,1.3.3.1.4,65.6,,,,1
2015,Canada (excluding territories),,35 to 49 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789184,1.4.1.1.4,64.3,,,,1
2016,Canada (excluding territories),,35 to 49 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789184,1.4.1.1.4,65.1,,,,1
2017,Canada (excluding territories),,35 to 49 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789184,1.4.1.1.4,64.1,,,,1
2018,Canada (excluding territories),,35 to 49 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789184,1.4.1.1.4,64,,,,1
2019,Canada (excluding territories),,35 to 49 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789184,1.4.1.1.4,65.1,,,,1
2020,Canada (excluding territories),,35 to 49 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789184,1.4.1.1.4,65.9,,,,1
2021,Canada (excluding territories),,35 to 49 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789184,1.4.1.1.4,61.3,,,,1
2015,Canada (excluding territories),,35 to 49 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789366,1.4.2.1.4,65.7,,,,1
2016,Canada (excluding territories),,35 to 49 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789366,1.4.2.1.4,66.5,,,,1
2017,Canada (excluding territories),,35 to 49 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789366,1.4.2.1.4,63.1,,,,1
2018,Canada (excluding territories),,35 to 49 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789366,1.4.2.1.4,66.2,,,,1
2019,Canada (excluding territories),,35 to 49 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789366,1.4.2.1.4,67.1,,,,1
2020,Canada (excluding territories),,35 to 49 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789366,1.4.2.1.4,67.7,,,,1
2021,Canada (excluding territories),,35 to 49 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789366,1.4.2.1.4,62,,,,1
2015,Canada (excluding territories),,35 to 49 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789548,1.4.3.1.4,62.9,,,,1
2016,Canada (excluding territories),,35 to 49 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789548,1.4.3.1.4,63.7,,,,1
2017,Canada (excluding territories),,35 to 49 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789548,1.4.3.1.4,65.2,,,,1
2018,Canada (excluding territories),,35 to 49 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789548,1.4.3.1.4,61.8,,,,1
2019,Canada (excluding territories),,35 to 49 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789548,1.4.3.1.4,63,,,,1
2020,Canada (excluding territories),,35 to 49 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789548,1.4.3.1.4,64.2,,,,1
2021,Canada (excluding territories),,35 to 49 years,Females,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789548,1.4.3.1.4,60.7,,,,1
2015,Canada (excluding territories),,50 to 64 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789730,1.5.1.1.4,57.7,,,,1
2016,Canada (excluding territories),,50 to 64 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789730,1.5.1.1.4,56,,,,1
2017,Canada (excluding territories),,50 to 64 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789730,1.5.1.1.4,54.2,,,,1
2018,Canada (excluding territories),,50 to 64 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789730,1.5.1.1.4,56.5,,,,1
2019,Canada (excluding territories),,50 to 64 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789730,1.5.1.1.4,56.6,,,,1
2020,Canada (excluding territories),,50 to 64 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789730,1.5.1.1.4,58.1,,,,1
2021,Canada (excluding territories),,50 to 64 years,Both sexes,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110789730,1.5.1.1.4,56,,,,1
